Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 5/30/2022 9:05:23 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,BEL,Belgium,2011,All,Age_all,[All],31008.00000000,29.73190657,109.42320786,281.87456037,
EU,Europe,BEL,Belgium,2012,All,Age_all,[All],31456.00000000,28.83860794,107.25552840,283.51892995,
EU,Europe,BEL,Belgium,2013,All,Age_all,[All],31314.00000000,28.64067902,103.95496965,280.12863338,
EU,Europe,BEL,Belgium,2014,All,Age_all,[All],29964.00000000,28.60388526,97.00571336,266.88558576,
EU,Europe,BEL,Belgium,2015,All,Age_all,[All],31342.00000000,28.35328068,99.18512523,278.20399271,
EU,Europe,BEL,Belgium,2016,All,Age_all,[All],29940.00000000,27.69734590,92.97120251,263.73605465,
EU,Europe,BEL,Belgium,2017,All,Age_all,[All],29702.00000000,27.08405522,90.82223447,261.11262708,
EU,Europe,BEL,Belgium,2018,All,Age_all,[All],28655.00000000,25.88691245,86.02336392,250.76423804,
EU,Europe,BIH,Bosnia and Herzegovina,2011,All,Age_all,[All],18396.00000000,52.51798561,320.89945291,479.09531304,
EU,Europe,BIH,Bosnia and Herzegovina,2014,All,Age_all,[All],17906.00000000,49.76653696,279.22669359,467.84414148,
EU,Europe,BIH,Bosnia and Herzegovina,2016,All,Age_all,[All],18927.00000000,51.75412212,329.44721545,539.02007534,
EU,Europe,BIH,Bosnia and Herzegovina,2017,All,Age_all,[All],19142.00000000,50.40153769,300.38215070,571.14298715,
EU,Europe,BIH,Bosnia and Herzegovina,2018,All,Age_all,[All],18793.00000000,49.79069521,290.56927991,565.38580142,
EU,Europe,BIH,Bosnia and Herzegovina,2019,All,Age_all,[All],16619.00000000,42.80048417,251.92136936,503.45349894,
EU,Europe,BIH,Bosnia and Herzegovina,2020,All,Age_all,[All],18122.00000000,40.79051028,267.74305801,552.36207788,
EU,Europe,BGR,Bulgaria,2000,All,Age_all,[All],76141.00000000,66.15951411,552.07354092,931.93876457,
EU,Europe,BGR,Bulgaria,2001,All,Age_all,[All],74756.00000000,66.52783711,532.49552889,944.68793744,
EU,Europe,BGR,Bulgaria,2002,All,Age_all,[All],76312.00000000,67.76241598,540.55965376,969.79247417,
EU,Europe,BGR,Bulgaria,2003,All,Age_all,[All],75678.00000000,67.61371251,533.14908258,967.30937092,
EU,Europe,BGR,Bulgaria,2004,All,Age_all,[All],74064.00000000,67.26364545,514.44606249,951.83739290,
EU,Europe,BGR,Bulgaria,2005,All,Age_all,[All],74932.00000000,66.09275495,507.25293031,968.12620318,
