Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 5/26/2022 4:01:42 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
AS,Asia,ARM,Armenia,2003,All,Age_all,[All],14253.00000000,54.78972861,463.36204027,443.84350476,
AS,Asia,ARM,Armenia,2006,All,Age_all,[All],13587.00000000,49.94853320,364.11295341,459.28296150,
AS,Asia,ARM,Armenia,2007,All,Age_all,[All],13504.00000000,50.33171823,354.03166003,460.47592970,
AS,Asia,ARM,Armenia,2008,All,Age_all,[All],13681.00000000,49.90879907,403.02013427,423.03243228,
AS,Asia,ARM,Armenia,2009,All,Age_all,[All],13525.00000000,49.07474601,349.88791863,468.30225630,
AS,Asia,ARM,Armenia,2010,All,Age_all,[All],13657.00000000,48.91300455,343.95684954,474.64323560,
AS,Asia,ARM,Armenia,2011,All,Age_all,[All],13315.00000000,47.61649322,323.52079638,462.88281260,
AS,Asia,ARM,Armenia,2012,All,Age_all,[All],13330.00000000,48.29710145,322.80957573,440.78836636,
AS,Asia,ARM,Armenia,2013,All,Age_all,[All],12960.00000000,47.65406677,307.88493392,428.85804302,
AS,Asia,ARM,Armenia,2014,All,Age_all,[All],13267.00000000,47.87111207,312.74006828,440.20267838,
AS,Asia,ARM,Armenia,2015,All,Age_all,[All],12817.00000000,45.97532104,296.68722405,426.58094887,
AS,Asia,ARM,Armenia,2016,All,Age_all,[All],13570.00000000,48.07624176,306.29127487,453.48761046,
AS,Asia,ARM,Armenia,2017,All,Age_all,[All],15105.00000000,55.68663594,334.87628814,518.55165313,
AS,Asia,ARM,Armenia,2018,All,Age_all,[All],14208.00000000,55.17455633,310.94018767,478.54480345,
AS,Asia,ARM,Armenia,2019,All,Age_all,[All],14068.00000000,53.72541531,304.68399801,474.87208361,
OA,Oceania,AUS,Australia,2000,All,Age_all,[All],49833.00000000,38.69502423,154.09710294,260.17862121,
OA,Oceania,AUS,Australia,2001,All,Age_all,[All],49534.00000000,38.50082001,147.26510078,255.15575968,
OA,Oceania,AUS,Australia,2002,All,Age_all,[All],49977.00000000,37.56341744,142.63034357,254.12479263,
OA,Oceania,AUS,Australia,2003,All,Age_all,[All],48603.00000000,36.88080495,134.52568839,244.57236344,
OA,Oceania,AUS,Australia,2004,All,Age_all,[All],47545.00000000,35.93346131,129.08117520,236.15743418,
OA,Oceania,AUS,Australia,2006,All,Age_all,[All],45914.00000000,34.33104779,119.39977642,225.12611186,
OA,Oceania,AUS,Australia,2007,All,Age_all,[All],46958.00000000,34.06357451,113.90773028,222.84070216,
OA,Oceania,AUS,Australia,2008,All,Age_all,[All],48673.00000000,33.81337446,113.73099272,226.40142075,
OA,Oceania,AUS,Australia,2009,All,Age_all,[All],46183.00000000,32.80974709,104.66892328,210.38427211,
OA,Oceania,AUS,Australia,2010,All,Age_all,[All],45520.00000000,31.72722394,99.70674940,204.14830980,
OA,Oceania,AUS,Australia,2011,All,Age_all,[All],45637.00000000,31.05994610,97.59680098,204.28357642,
OA,Oceania,AUS,Australia,2012,All,Age_all,[All],44038.00000000,29.93786455,91.15399575,193.75883427,
OA,Oceania,AUS,Australia,2013,All,Age_all,[All],43615.00000000,29.53385068,87.79595462,188.66779428,
OA,Oceania,AUS,Australia,2014,All,Age_all,[All],45069.00000000,29.34561792,88.21639234,191.74921454,
OA,Oceania,AUS,Australia,2015,All,Age_all,[All],45642.00000000,28.69627543,86.83921743,191.64431299,
OA,Oceania,AUS,Australia,2016,All,Age_all,[All],44186.00000000,27.87689901,82.06821199,182.65540850,
OA,Oceania,AUS,Australia,2017,All,Age_all,[All],43705.00000000,27.13180701,79.06556113,177.68045635,
OA,Oceania,AUS,Australia,2018,All,Age_all,[All],42169.00000000,26.57838509,74.90478174,168.72750238,
OA,Oceania,AUS,Australia,2019,All,Age_all,[All],43249.00000000,25.59718277,75.41086715,170.51126214,
OA,Oceania,AUS,Australia,2020,All,Age_all,[All],40289.00000000,24.97768134,68.02994377,156.84562500,
EU,Europe,AUT,Austria,2000,All,Age_all,[All],40111.00000000,52.24146913,235.87981366,500.66366551,
EU,Europe,AUT,Austria,2001,All,Age_all,[All],38385.00000000,51.33949470,222.60655032,477.28925071,
EU,Europe,AUT,Austria,2002,All,Age_all,[All],36906.00000000,48.47696733,209.40105095,456.63755838,
